,precision,recall,f1-score,support
0,0.7795527156549521,0.7240356083086054,0.7507692307692307,337.0
1,0.7738693467336684,0.8774928774928775,0.822429906542056,351.0
2,0.8217270194986073,0.8217270194986073,0.8217270194986073,359.0
3,0.9442622950819672,0.8347826086956521,0.8861538461538462,345.0
4,0.6271186440677966,0.8018575851393189,0.7038043478260869,323.0
5,0.7723785166240409,0.8753623188405797,0.8206521739130435,345.0
6,0.8028846153846154,0.8455696202531645,0.8236744759556104,395.0
7,0.8674698795180723,0.8252148997134671,0.8458149779735683,349.0
8,0.7507002801120448,0.8121212121212121,0.7802037845705968,330.0
9,0.7456140350877193,0.7589285714285714,0.7522123893805309,336.0
10,0.7900874635568513,0.799410029498525,0.7947214076246334,339.0
11,0.8311345646437994,0.8823529411764706,0.8559782608695652,357.0
12,0.7699680511182109,0.7415384615384616,0.7554858934169278,325.0
13,0.7150259067357513,0.7666666666666667,0.739946380697051,360.0
14,0.7016129032258065,0.8585526315789473,0.772189349112426,304.0
15,0.8111455108359134,0.7867867867867868,0.7987804878048781,333.0
16,0.7975460122699386,0.7975460122699386,0.7975460122699386,326.0
17,0.7055016181229773,0.6964856230031949,0.7009646302250804,313.0
18,0.7171314741035857,0.5769230769230769,0.6394316163410302,312.0
19,0.6443148688046647,0.6405797101449275,0.6424418604651163,345.0
20,0.6451612903225806,0.5278592375366569,0.5806451612903226,341.0
21,0.8339622641509434,0.6278409090909091,0.7163695299837926,352.0
22,0.916030534351145,0.6956521739130435,0.7907742998352554,345.0
23,0.698170731707317,0.6715542521994134,0.6846038863976084,341.0
24,0.803088803088803,0.6265060240963856,0.7038917089678511,332.0
25,0.6791979949874687,0.7720797720797721,0.7226666666666667,351.0
26,0.7663043478260869,0.9067524115755627,0.8306332842415317,311.0
27,0.9938080495356038,0.9553571428571429,0.9742033383915023,336.0
28,0.791907514450867,0.8925081433224755,0.8392036753445635,307.0
accuracy,0.7726530612244898,0.7726530612244898,0.7726530612244898,0.7726530612244898
macro avg,0.7757474914345448,0.772415321646566,0.7706179173285833,9800.0
weighted avg,0.7768146844135772,0.7726530612244898,0.7713140160278315,9800.0
